,0_vaccineret_vaccinationen_forældre_vaccinationer,1_livmoderhalskræft_måske_forebyggelse_gør,2_sundhedsstyrelsen_sundhedsstyrelsens_lægeforeningen_forældre,3_kræft_livmoderhalsen_kræften_halskræft,4_hpv_vaccine_vaccination_papillomavirus,5_bivirkninger_hovedpine_svimmelhed_sygdom,6_kvinder_kvinderne_ældre_årige,7_bekæmpelse_kræftens_kræftsygdom_kvinder,8_undersøgelse_undersøgelsen_undersøgt_livmoderhalsen,9_sygdommen_sygdom_sygdomme_årsagen,10_læger_lægerne_sygdomme_sundhedsvæsenet,11_vaccinen_godkendt_vaccinationsprogrammet_vacciner,12_også_årige_drenge_gør,13_vaccinerede_hpvvaccinen_vaccinerne_undersøgelsen,14_sundhedsminister_sundhedsministeren_sundhedsordfører_vaccinationsprogrammet,15_kønsvorter_analkræft_kønssygdomme_sygdomme,16_kræftformer_kræftsygdom_kræfttilfælde_brystkræft,17_børnevaccinationsprogrammet_børnevaccinationsprogram_vaccinerne_analkræft,18_læge_lægen_lægerne_sundhed,19_overlæge_sundhedsstyrelsens_overlægen_gynækologisk
1071,0.09729232562662417,0.11301126795939416,0.0,0.0,0.06265266581680848,0.0,0.07770107145227315,0.1202316107360058,0.0,0.0,0.0,0.0,0.007550816168352205,0.0,0.0,0.09632853422209295,0.0,0.0,0.0,0.0
1072,0.09014386863862664,0.11590150553703986,0.0,0.10983423988090114,0.058914930309307285,0.0,0.0773316296866506,0.0,0.011084995998387383,0.0,0.1071731130425051,0.06725083303980274,0.0,0.0,0.0,0.0,0.0,0.0,0.09308452066530917,0.0
1073,0.0,0.11581715791809173,0.0008272506597285426,0.10573381795447419,0.061716745406570635,0.008329275525683535,0.0,0.0,0.03411068679335608,0.0,0.0,0.0016962924973164689,0.0007069346303557787,0.0016305689247327593,0.006354217760917594,0.0,0.014222626896331412,0.00047840206596548633,0.0,0.0011767417267969222
1074,0.08929067333260361,0.11141115185687261,0.0984378269116414,0.0,0.05804225754340699,0.07959729049065965,0.07290091654044069,0.0,0.0,0.0,0.10911098726506276,0.06161673892928562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030159795269923757
1075,0.10778482055256222,0.1152629688913122,0.0,0.0,0.06921466209447334,0.0,0.07908178518870065,0.0,0.0,0.0,0.0,0.06188332625985933,0.09738310743867909,0.0,0.09560704656254068,0.0,0.0,0.0,0.0,0.0
1076,0.08891373516412172,0.11258951101298753,0.0,0.0,0.057165815539380535,0.09326105911689692,0.0,0.06245859723383853,0.0,0.0,0.1077751955945769,0.06078171472253685,0.0,0.0,0.0,0.0,0.0,0.0944966877205559,0.08339852001318025,0.0
1077,0.09002032540604323,0.11441793368293733,0.0,0.0,0.059231604538746825,0.0002545281740458326,0.08999099544811917,0.0,0.027405335987261935,0.0,0.11856773617809713,0.06794415047354918,0.0,0.0,0.0,0.0,0.0,0.006233400147072349,0.0,0.0020195389183970554
1078,0.09876143431840903,0.11757066452222059,0.0,0.10626433599105158,0.06543939229720815,0.07520218913990769,0.07858199641666627,0.0016212380833779112,0.0,0.0,0.0,0.0615543315209115,0.0,0.0,0.0,0.0,0.013187226418748678,0.0,0.0,0.004562547694737895
1079,0.0912571312904238,0.11336212259166671,0.09715792214671745,0.09778313921479569,0.0,0.0,0.0,0.0,0.0,0.014277941734986366,0.008900558992753585,0.06150953273334361,0.09215372225305975,0.0,0.08428748918329336,0.0016199770405059737,0.11807442240329327,0.0,0.0,0.02406570251665034
1080,0.003564468352200423,0.11567659937313003,0.08444574360664005,1.9820190845704383e-05,0.0595917077013951,0.0,0.08377899685759595,0.0,0.0,0.0,0.002806394442434497,0.06645013787390491,0.013552837998738522,0.0036207551876760963,0.008704574638898812,0.0030267547827283817,0.0,0.0,0.03383288767529964,0.12591788053319444
1081,0.012698593349057825,0.11386399600755961,0.0,0.10339723611870778,0.0009029702247762873,0.0011357880429722724,0.08885081230369347,0.11712241779912272,0.0058182194754517694,0.0,0.0,0.0688804121121721,0.0,0.0019413975387660186,0.0,0.0,0.000817719837134899,0.0017348395828492684,0.0,0.0
1082,0.0,0.11588149914157353,0.0008357560128501332,0.10094865983407117,0.06679156551274204,0.0,0.0,0.0,0.062221920557285204,0.0,0.0,0.06736524288219645,0.0,0.006927312537725645,0.0,0.03033856432677075,0.10006895758539427,0.013690610917379673,0.0,0.0
1083,0.00094306225516689,0.0,0.0,0.10535322120048467,0.0,0.0,7.102381013631e-05,0.0,0.0068197261783588215,0.0,0.13654062093921307,0.0,0.0005801930806059377,0.0,0.0,0.0,0.010436239109392065,0.0,0.020831040460873817,0.1683305141367696
1084,0.0017855450120758238,0.11416419200112242,0.09234860610437978,0.0,0.0,0.0006544087134654688,0.0,0.0,0.0,0.0,0.010039671138748665,0.004571391647873488,0.0,9.178140473893667e-06,0.17428016589477202,0.021596807054154326,0.1030127076728948,0.009357157729153078,0.008839066798806547,0.0028135705359483886
1085,0.09448460521639346,0.11531116233364987,0.0,0.0,0.0,0.010700284325016445,0.07506018334422711,0.0,0.031431002169434834,0.0,0.11052178307184586,0.06363432190272178,0.0004056027696321256,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1086,0.09578135036788325,0.11346639625758405,0.013101491273433075,0.0,0.0,0.0032570473582313464,0.0,0.0,0.09531153226385596,0.0,0.0021032191347417984,0.06509150453772568,0.09992065449797358,0.0033339697053437357,0.000134006126452449,0.0,0.0,0.009622469472645417,0.0,0.02055164533687034
1087,0.0,0.11291651482955549,0.0,0.10188959897886418,0.0,0.0,0.0,0.0,0.06929089887002277,0.0,0.0,0.0,0.09364452863638466,0.0,0.09767020147948884,0.0,0.09609237765862938,0.0,0.0,0.0
1088,0.0,0.11578249309307898,0.015245211050338254,0.00623720054450275,0.0,0.0,0.07778843964303635,0.0,0.09994071896240533,0.0,0.10788518863017495,0.0,0.0,0.0,0.0,0.0,0.0,0.002139963230230393,0.0,0.020886225359866843
1089,0.002406533747534407,0.1166737420789236,0.0,0.0017565806562293864,0.0,0.006568437040585385,0.0008797987847613452,0.0,0.008723044073436236,0.1499003686748413,0.0,0.0,0.002509105121029392,2.1480587012154682e-05,0.0,0.0005598233385233493,0.0,0.0,0.0026036877827612524,0.028565609242258774
